,Sentiment,Tweet
7046,negative, I would made already booked another flight Cancelled Flighted original reservation
7047,negative, Ive hold reservations desk  hours HELP
7048,negative, So frustrating I still gotten back Why bag sent NY mystery Shame time
7049,positive, YOU ARE THE BEST YOU ARE AMAZING FOLLOW ME PLEASE
7050,neutral, Boston gate C
7051,positive, thanks responding  do
7052,neutral, Says  Incentive Offer To Have No Impact On Share Count  Nasdaq 
7053,negative, u deliver luggage Almost two days holding phone  hrs Help
7054,positive, Thanks LOL  wait us Per  tail number  
7055,negative, I love guys even Comcast better phone help system A simple callback system would fix problem
7056,positive, After hour wait issue resolved I contact customer service comment wait time Thanks contacting me
7057,negative, already spent  stay hotel last night due guys rescheduling flight Since Cancelled Flightation Ive spent almost 
7058,positive, green despite inconvenience situation handled quickly appreciate much
7059,positive,  done  truck No biggie
7060,negative,  record loaaret got email get rescheduled another flight know flight Cancelled Flightled
7061,negative, hear blah blah blah you shoulda used  buy  ticket instead  ill driving flying
7062,neutral, yeah am flight tomorrow going add  min extra roads  snow
7063,negative, Yeah try harder No catering truck sight Can leave wo food eat anyway
7064,negative,  LAX connect term  term  min layover due delay USAA Is realistic Can  held
7065,negative, advertise flight still website still cant book spent  hours united support
7066,neutral, I send trusted traveler ID add reservation tsa pre
7067,negative, I think guys half full flight  held overbooked pm flight fill one Cancelled Flightled mine
7068,positive, please keep Emily gso airport ticketing staff amazing
7069,negative, big problem Fll clt got clt fly gso Cancelled Flightled rent car get pops funeral
7070,neutral, I make delay
7071,negative, I never able talk someone buy another new ticket Will calling shortly refund
7072,negative, You unhappy customer After waiting  min hold rude  uncaring rep frozen acct cant print bdng pass
7073,positive, guys perfect always lt 
7074,negative, Conf  Finally got  told flight completely booked That would better info advise  call
7075,positive, thats ok thanks letting know Appreciate responses
7076,negative, rarely ceases amazefor worse hope last time have fly you
7077,negative, Late Flightr flight Charleston leaving flight scheduled earlier Thats wrong
7078,negative, pls properly train agents Requested speak k customer service  transferred dead end Not even open hr
7079,neutral, Im supposed fly Dallas Can help get new itinerary
7080,negative, stranded Miami automated system keeps hanging two days Help 
7081,negative, thanks apology Unfortunately one many bad experiences longer flying southwest
7082,negative, make flight funds forfeited show Was trying book another flight using funds Im out
7083,negative, mood lighting point Reclining seat kickin feet
7084,negative, A rd party service use sell tickets ripped off Excellent service United offering
7085,positive, good man fault plane maintenance issues
7086,negative, Why put luggage plane mine Then deliver like said Now show claim closed online
7087,negative, I booked US Airways site Dont see Cancelled Flight link 
7088,negative, tells talk  delayed flights AA tells talk US 
7089,negative, ordered Scotch  water FA asked I wanted full glass half  yrs old first time ever asked that
7090,negative, biggest joke  Ive ever seen brand 
7091,negative, feels flight  
7092,neutral, thats right overnight Miami
7093,negative, Been trying book whole new flight since  hours wrong website
7094,negative, Now JFK Baggage Office actually run paper hotel vouchers 
7095,positive, did Thank you
7096,negative, Thank acknowledgement The IFE work well anyway maybe time upgrade lower profile system
7097,negative, Gate traffic  MY flight arrived  earlyconnecting flight  leaving  minutes Several us stuck HOLD THAT PLANE
7098,positive,  thanks agent boarding  ATLAUS Left wallet inbound He found me
7099,negative, idea plane flight  coming from I thought flight  JFK explain delay
7100,negative, system gave seat awaynow Im L Economy Not Econ  seat How give plus seat away
7101,neutral, would like know possiable checkin online must done Schiphol
7102,negative, sitting Baltimore Finish taxi approved takeoff Oops enough fuel   
7103,neutral, refund
7104,negative, nd time row flight jfk disaster Last time I allowed fly stndby  hour delay wout notification
7105,negative, Im get plane I think I deserve know mechanical issues flight delayed
7106,neutral, I knew I correct 
7107,neutral, question flying st time mont old sondo I need bring anything him Birth certificateSS card etc
7108,negative, loyal Alist customers easier get help bring resolution issues rewards program
7109,negative, We landing RIC right now even left ATL Should picked Delta maybe
7110,negative, pls find bag I need  get home Very frustrating Hope bag somewhere NJairports Leaving  wo luggage
7111,negative, I need youto better airline LOL
7112,neutral,Listen im gonna deny but RT  Our fleets fleek 
7113,positive, got hot ladies flying air life 
7114,negative, I find them tell us Ive flown Jet Blue since first month The experience was
7115,negative, frustratingly delay happened either gate even onboard aircraft No heads advance
7116,neutral, joe No no mustve heard us wrong Sweet mixtapethough  recordI leave s s left
7117,negative, Can care less youre without bags day week Ive  stories last  hoursI WANT MY BAG
7118,negative, update  minutes pilot turned ac No longer freezing enjoying waiting reload bags
7119,positive, pleasantly surprised boarding flight time morning Nashville Good job
7120,negative, I appreciate response constant changing flight time frustrating say least 
7121,positive, yes yes does Great trip down Thanks lift
7122,negative, guys rip I could Cancelled Flight every flight I booked employees I would Buyer beware
7123,negative, make sure make Cancelled Flighted flight baggage upgrade fees seem like labyrinth might able swindle 
7124,neutral, please rebook Seattle Columbus Tue  locator KARAAX name Mitchell M Neuer
7125,negative, refused unload luggage were stuck freezing weather wo cold weather clothes
7126,negative, could seen horrible customer service group would actually update information Never fly American again
7127,negative, funny  apologizes actually take steps  go  beyond customers 
7128,negative, Disappointed allowed bring aircraft approved carseat empty plane Not cool
7129,negative, one operate r let us plane IAHwowjust wow
7130,negative, Missing flight attendant  Delayed Flight Prime exle  person impacts s people HNL gt IAH UA 
7131,positive, great cabin flight crew morning  A great smile happy staff signs happy company Thanks
7132,negative, Im afraid not I fly service every week Im unhappyspend much money unhappy
7133,negative, never again
7134,neutral, I think US site allows unlike  Can I use US credit I held 
7135,negative, really needs get clue start treating people like humans animals 
7136,neutral, Do get class discount wifi I flying airlines approx  Am
7137,neutral, Submitted hoping quick decision tied another donation received Proposal th Annual Gala Org Boundless Readers
7138,neutral, ETA flight  Orlando morning
7139,negative, flight  Vegas DFW Cancelled Flightled Sunday Monday whammie today
7140,positive, I sincerely thanking pilot flight  braving snow getting home amongst many Cancelled Flightlations
7141,neutral,  Are flying s Madrid JFK DFWORD Huge 
7142,positive, Congratulations
7143,positive, DMing now Big thanks
7144,negative, I paid using Paypal online I charged System Error I ended calling about
7145,negative, would think would clean rs Our jet stuck snow Newark This would never happen 
7146,negative, check still saying I paid Ive called back twice hold  minutes answered hung up I
7147,positive, Thanks information
7148,negative, what forgot tell flight coming Thanks allowing miss connection
7149,neutral,s CEO battles appease passengers Wall Street  Waterbury Republican American 
7150,negative, strand someone city without luggage would think AA would want earn business guess not
7151,positive, thanks
7152,positive, elliott You will Every chance I get Thanks keeping Exec Platinum
7153,negative, lack TV made rough thats literally I picked yall competitors
7154,negative,I will show new program beneficial longstanding loyal consumers 
7155,neutral, status flight  MCO LGA tomorrow
7156,negative, new  like new  Love AA Not impressed subpar planes gate agents
7157,negative, thx checking in Never got via phone On hold hour How long long wait hold Ugh 
7158,neutral,  indeed httpstcoswWhYhEn    
7159,negative, You need change way customer service handled I waiting supervisor contact  days gives
7160,negative, saying customer care report anyone Their response humiliating company serves public
7161,negative,  Instead wait plane Ottawa never came Now Im back home try tomorrow Suitcase still lost
7162,negative, well sortawe r trying get Aquadilla PR  flight goes day All booked UA Cancelled Flighted flight NJ
7163,negative, hey yesterday im still hold
7164,positive, need anybody else
7165,positive, We hope enjoy  brought warm coat gloves Maria Yup New beanie 
7166,negative, I need get RIC tonight Ive EWR hrs now
7167,negative, flight  waiting  minutes RSW waiting weight balance clearance Come on let us leave
7168,positive, love always
7169,neutral,   Sorry Mary Martin first
7170,neutral, What DM confirmation  mean
7171,negative, On hold airline  min counting Service terrible
7172,negative, US  Uh oh gate Now truck come us
7173,negative, Cancelled Flightled flight put flight next dayI need help somebody robot PLEASE Much appreciated
7174,negative, worry  took good care me Your loss gain
7175,positive, kind cool run boss man SFO 
7176,negative, I booked flight phone never got confirmation email How would I go getting that
7177,negative, gate C  IAD U released passengers board wothers deplaning  peopleOn bridge next flight board 
7178,positive, thanks 
7179,negative, frustrating frequent flyer loyal since Continental Upgrade equals paying  times top purchase ticket
7180,negative, understand waiting  hours callback exec plat line call dropped agent could least try
7181,positive, good back See several weeks
7182,positive, Thx follow up Just sent DM
7183,negative, SF crew lack lot customer service LAX employees lot better Wonder why
7184,negative, Seriously You cant tweet let people know got customers hold  HOURS
7185,negative, flight BGM Cancelled Flightled last night I get hotel voucher pay cab back Worse cab experience ever
7186,negative, dealing w fam emergency Was told rebooked AA flight  ORD system Need help ASAP
7187,neutral, am flight mco canld  resch If opt  depart tom us air allow cng return day sat sun wo penalty
7188,positive, I love graphic 
7189,negative, airlines Cancelled Flight flights BNA Been stranded philly  days Hoping get AM
7190,negative, Literally says Case open What good me
7191,negative,  cost day vacation  hotel stay day dog boarding day airport parking
7192,neutral, I recently moved got new license I booked flight months ago I used old license I need change that
7193,positive, Eventually call got through Not sure changed Thank lot though
7194,neutral, I booked online unable Cancelled Flight online But finally got thru
7195,negative, time I tweet tell horrible attendants are Flight  LGA I feel jail
7196,negative, cant DM following LLY Rebooked  still need seats
7197,negative,  min delay mechanics replace rivets  mins Late Flightr turns mechanics wrong size rivets  mins Pathetic
7198,negative, web app let upgrade seats call center wait time  minutes plus want get legroom pita
7199,negative, How know bags are You knew  hours ago You killing me Worst service Ever
7200,neutral, IM NOT THO
7201,negative, one time upgrade first class luggage open missing valuable items cant replaced 
7202,neutral,Peak  RT  Our fleets fleek 
7203,negative, Whats delays Boston today My sister trying go home broinlaw trying come RDU Craziness
7204,negative, Why first available flight Tuesday flight today booked   available buy online
7205,neutral,Can I put sun carry on RT  kneee Right  would heat wave enjoy warmth Can bring home JJ
7206,negative,  horrible wait time  get gate shows total miss management  Value customer time respect thier sentiment
7207,negative, Yeah sorry theres always problem United And international reputation problems
7208,negative, Im counting you please let down    
7209,positive, hear bad things Flying last weekends flights crews awesome Thank you
7210,negative, almost bumped flight HRL I  minutes early staff rude I asked problem
7211,neutral,  wont wait min fam w yr old connecting flight leaves early instead airport planes last stop today
7212,positive, It usually excellent SWA flight
7213,negative, guys suck   delay get ers even curtesy let know 
7214,negative, min get bag checked n ATX miss flight spend day  n get baggage end all 
7215,negative, I suppose FL  hours ago And Im not Ive waiting hours ridiculous
7216,negative, I furious Youre firm disgrace Despite efforts zero protect daughter All alone night  United
7217,negative, Man steel flies cities thoughand frequency too
7218,negative, yea booked  next avalible flights since sat am And time comes plane nd day work missed 
7219,neutral, I check awesome bag flight carry on Decisions
7220,positive, got mine Just time wife th anniversary
7221,neutral,  My guess happened  ended   
7222,negative, booked flight yesterday appeared account  confirm email since hours disappeared err no segment this
7223,neutral, Thanks getting back me I called number earlier option leave vm rings busy tone
7224,negative, So plane stuck Newburgh start It weather reLate Flightd well These passengers plane  hrs
7225,negative, US  stated issues as one around close said door More strange Now were hearing pilot long periods
7226,negative, crappy flight due delays rude staff members Im happy report paying  check luggage ruined
7227,negative, well said Cancelled Flight PA system Guess trying get plane Boston And  confirmed
7228,neutral, I check see flight NYC expected delayed Cancelled Flightled Tuesday
7229,positive,  done 
7230,neutral,s new CEO seeks right balance please passengers Wall   Daily Journal 
7231,neutral,  I hear last call boarding flight I JFK hours ago good luck wflights
7232,negative,  U hate delays too But u   holding hostage 
7233,negative, gladly take loyal customers money cause inconvenience nothing help fix problem caused
7234,positive, yes food Add gluten free options
7235,negative, hey am guess Im doing Not sleeping Why Cause care little customers let sleep airports
7236,neutral, okay signed up
7237,negative, Been trying since  file report
7238,negative,  Thats unusual means screwed never admit it 
7239,neutral, bag check cut  minutes original departure time estimated time shown online
7240,negative, email address I send issue to guys screwed rebooked flight wrong day please help
7241,positive, two seats avail far us
7242,positive, already booked tickets August thth Cant wait vacation
7243,negative, suck ruined day And vacation even June
7244,negative, I cant get customer rep help out This option I got
7245,positive, Thank you
7246,negative, For exle cant pay  hotel  food Or transport alternate city flying from Or give clear record alt flight
7247,negative, yea I hoping avoid ticket difference amount birthday courtesy   
7248,positive, add earlier tweet This daughters th Bday present Thank hard work making happen
7249,neutral,  Shes Manch Charlotte Fl  Told could get pm flight West Palm Beach Nothing earlier
7250,neutral,Thnx response  bot It seems improvement could easily attained Is st Class service really worth 
7251,neutral, I always
7252,negative, yes Ive waiting four hours one able help me
7253,negative, Flight  OMAgtDEN  actually Cancelled Flightled Been hold hour website says conflicting messages
7254,negative, I never unpleasant travel experience life Now I might get flight till tomorrow This insane
7255,neutral, Well Its LA hr car ride dark Palm Springs technically Maybe Ill get bumped st class Den PHL Friday
7256,positive, Please Help We really want fly you 
7257,negative, cant change it True blue points I cant get phone
7258,negative, well horrible flaw system  hours past day Ive wasted Ive got job  family crazy
7259,negative, flight  Cancelled Flightled I need get back Cleveland What options
7260,positive, worries loved flying guys Thanks
7261,negative, averaging  minute wait times tonight what Ive gotten help tonight
7262,negative, Twitter cust svc rule  Dont say IF fell short I told u u did  If u cant solve problem say anything all
7263,negative, bunch liars Cancelled Flightled flight rebooked us four days Late Flightr
7264,positive, TYVM USAir Happy Night lt
7265,negative, suggest failures make HUGE donation USO Charlotte NC THEY provided GREAT customer service today unlike you
7266,neutral,YASSSSS Da Fuccc RT  Our fleets fleek 
7267,negative, When I check online states status closed What mean As I yet able reach live person
7268,neutral, flight number  SFO Cabo San Lucas arrived yet
7269,neutral, Old school ride home LAX Houston  
7270,neutral, nope case id either time
7271,negative, charge much moving full flight earlier flight seats available make sense me
7272,negative, How dirty damn plane take hour get plane cleaned Refund miles  
7273,negative,  hour phone best tell sent maybe bank misplaced it
7274,negative, nightmare continues 
7275,neutral, I enjoyed call good friend hes Flight Booking Problems flights elsewhere I tweet one time I tell many I
7276,negative,  tweet bots obviously get sarcasm making computers like real people
7277,neutral, aircraft closest gate flight one closest gate going Chicago
7278,negative, I enough hands count number times something like delayed flight guys Very disappointed
7279,neutral, sadly theyve tried airport agentsno flights theyre stranded PHL No chance hotel them
7280,positive, I see that Working picking trip two type
7281,neutral, yr site trouble mobile check 
7282,negative, coworker conflict hotel issue trying share posted facebook page erased it
7283,negative, From I Im flying  Since plane getting stuck drift  hours weather issue
7284,negative, completely ruined pro athletes ability prepare race Now help get bike needs DR
7285,positive, thanks
7286,neutral, Not possible carryon put closetoverhead Had success airlines Thanks
7287,negative, Been hold phone well half hour waiting make reservation change I wanted make online Help
7288,negative, Best part hearing attendant give voucher person next hotel BGR Then guy saying we that
7289,negative, already done that answer got was oops give miles were sorry pays discomfort  h
7290,neutral, gate agent club staff got priority standby next might minor disaster
7291,negative, still waiting
7292,negative, Ive heard new flight tap pay readers accept ONLY Apple Pay I thought impossible  certainly EMV compliant
7293,negative, complete horror show Flights bumped three times today noon run airline 
7294,negative, pilots Plane flight says still time ground  minutes ago
7295,negative, Poor cabin luggage service UA BOS I forced check even empty space bags overhead
7296,negative, able rebook another flight Drove ATL catch flight Was charged  get group I
7297,positive, wanted let know wonderful Rosetta gate agent working flight  Dan Ase Let know wasappreciated
7298,negative, heyyyy guyyyys trying get hour someone call please 
7299,neutral, How get refund instead credit flight Cancelled Flightled We switch flight tomorrow
7300,negative, again maybe SDKSIA would care hear went whoever listens issues caused
7301,negative, musicians real dirty LAX Ive never blocked getting flight bass
7302,negative, feck guys Stop Cancelled Flightling flights EWR RIC weather fine I locations
7303,negative,  fill form never receive response I expect remedy We travel another airline Cancelled Flight members w u
7304,neutral, If travel advisory posted DEN I make changes ticket Anything I need know I call
7305,neutral, know suicide second leading cause death among teens 
7306,negative, please review fix baggage procedures Dulles happens every week sister travels airline
7307,neutral, flights    fly  way   mind taking ocean approach sleep
7308,positive, thank you Literally called preboarding I ran up
7309,negative,  Mr Husain u shld protest well one ur party member Rehman Malik delayed PIA flight hours
7310,neutral, I applied job PDW could I go follow up Id really love job 
7311,negative,  breastfeeding mommas watching story country Better work faster response 
7312,negative, I rebooked  Cancelled Flighting flight crew expired boarding unacceptable You started delaying pm
7313,positive,Awesome RT  Watch nominated films  feet   
7314,negative, poorest trained employees desks I even started discuss  yet
7315,negative, This feeling 
7316,neutral, I recently moved got new license I booked flight months ago I used old license I need change that
7317,neutral, flight tomorrow
7318,positive, absolute best team customer service ever Every time I fly Im delighted Thank you
7319,negative, Inconvenience understatement More like torture Clearly going wrong path JetBlue
7320,negative, u lost bag would refund bag fee Does make sense you And yes I already called cust svc They said no
7321,negative, Ive booked wrong flight And PE desk wait  hours
7322,negative, two delayed flights today weather reLate Flightd Keep good work
7323,negative, guys I need help reservations tried calling Im told call Late Flightr Please help here
7324,neutral,  merged marketing departments would us believe Maybe   get home
7325,negative, awful They lost bag providing info This day  nothing 
7326,negative, Second day  attempt trying leave IAD  Im another plane delayed mechanical issues Over hour delayed
7327,negative, stood last night Im giving second chance Im boy tweeting airline asking fly home
7328,negative, wheres bag In line  deep DCA Agents say call    says talk agents Abysmal customer service
7329,neutral, New marketing song httpstcoFLFULCbQ let us know think 
7330,negative, thank letting downMy luggage still Denver Im Phl    
7331,negative, flight I connect 
7332,negative,  Cancelled Flight trip LA bc weather  easy US air making pay  use credit Never
7333,negative, Credit bank account two days work Ive missed Cancelled Flightlations
7334,negative, going BDL DCA flights yesterday today Why every single one getting delayed
7335,neutral, The Opal Dragon book The Dragon ALI woven murdering ways Philippines Australia 
7336,neutral, Our vacations going ruined w  days rain   The change fee  us nearly cost original flight Can help
7337,positive, thanks
7338,negative, I flt  tomorrow moved  I need moved Tuesday roads better flight  thanks
7339,negative, black white EU law  Cancelled Flightled flight I want money
7340,neutral, I get copy last flight showing original time delay I need work Thanks
7341,negative, tried got whole  characters I even done
7342,negative, right completely pissed
7343,negative, guys alive ive hold  minutes counting
7344,neutral, retiring hubby th wedding anniversary year Companion pass please
7345,negative,   You going transfer car too Because airport get too
7346,negative, would I pay  reactivate points useful certain flights even worth 
7347,negative, WHERE IS MY BAG
7348,positive, excellent guys best
7349,negative, planes sitting one going home  
7350,negative, still waiting flight I get money back
7351,negative, Ive hold  half hours now Thanks Cancelled Flighting flight notifying me
7352,negative, Its  hours still call back hung automated system 
7353,neutral, briughy    much 
7354,negative, followed I tried  record locator number gave error code
7355,positive, Looking cool
7356,negative, Let us know find everyones luggage Thanks 
7357,negative, really getting worse day goes on Late Flight leaving diverted sitting tarmac VA
7358,neutral, For Grandma Ellas th would love bday greeting flight crew She stewardess Eastern Airlines
7359,negative, im tryin book flight cant get ahold anyone
7360,negative, Cancelled Flight flight  phl delta flew flight time time Cancelled Flighted reason
7361,negative, yes well operating outside terminal targeting vulnerable passengers No better thieves
7362,neutral, expect customer service Dallas available
7363,negative, please tell CLT flight  needs gate Waiting  mins
7364,negative, flt  sorry scheduled  phlmia totally chaotic poorly addressed event Sent three gates night
7365,neutral, way DM you
7366,negative, My Flight  delayed I connecting Boston Is possible switch Flight  I make connection
7367,negative, Ive TERRIBLE service three airports  hours Glad care kind need home 
7368,negative, pretty stupid I probably fly again Plus hearing nightmare stories overbooked flights
7369,neutral, winner  
7370,negative, trying get thru agent since last night bc AA changed flight  days now Infuriating We need get SEA
7371,positive, Thank JetBlue Credit Nice save 
7372,negative, wont transfer flight ticket accompany  yr old whos active military mom emergency brain surgery WOW
7373,negative, DeeDee Lynn S great PHX Richard P jerk Rude us parents reason
7374,negative, min still hold chg award travel 
7375,negative, really good deferring responsibility
7376,negative, pay hotel room Cleveland last minute Cancelled Flightled connecting flight Booked unitedUnimpressed
7377,neutral, yes travel complete flight  CLT CAK Feb 
7378,neutral, done I hope offer something
7379,negative, least could make caused You ruining peoples memories You ashamed
7380,negative, would love respond link supervisor tore ticket refused give names hid badge
7381,negative, Thanks info trying hrs luck Flight dep Today Need  change  tomorrow Thursday
7382,positive, I received birthday card It amazing made smile joy Nice videos Thanks
7383,negative, bag turned up thanks useless callcentre useless website
7384,neutral, really caring
7385,positive, I love guys
7386,negative, I called  times redeem mile points cant get through You advertise miles make hard use
7387,negative, flight landed  hours ago  flights CMHIAD last night still bagcould driven CMH
7388,negative, work all Incredibly unfriendly ground staff false promises Twitter 
7389,negative, All changes Way stick Premiere K loyal customers Why make things harder loyal you
7390,negative, please improve business extra flight reservation process cant book online century in  min hold
7391,negative, thanks mr got rebooked already I lost first class seat Such life
7392,negative,  maam complaint visit customer service desk sees line  people deep
7393,negative, backlog hour most two Unacceptable
7394,negative, worry Ill sending letter I expect compensation I fly twice week wyou guysfor
7395,negative, yet But see shortly
7396,positive, willsunday Just days away
7397,negative, please provide direct email explain
7398,negative, worst airline Congrats
7399,negative, ok To top things off lost luggage Could get ANY worse 
7400,neutral, dm nuts
7401,positive, Thanks Just DMed HN
7402,negative, I paid economy plus put last boarding group I gate check bags too  knows better
7403,negative, load us flight captain hours could fly one consecutive period Unacceptable
7404,negative,  Sitting gate Flight  hour due computers down What backup plan place this
7405,negative, agent told us TSA crew get bags
7406,negative, friend telling gate attendant stewardess going 
7407,negative, rers gate b dfw Waiting marshaled
7408,neutral, customers get touch internationally Mexico lost baggage
7409,negative, whats delays Throw priority boarding way  Ill forgive you  
7410,negative,  dinner reservations minutes  Ive trying get since BREAKFAST 
7411,neutral,  follow back I DM info
7412,negative, I made flight still update emails I landed info ever sent second flight Losing biz
7413,negative, apologies help Would nice supvsr Sally CLE offered one Not usual gr southwest customer service I love
7414,negative, waiting figure out This unacceptable
7415,negative,  Over hour hold far
7416,negative, customer service whats That
7417,positive, Companion Pass Because everyone deserves  treatment  even mom 
7418,neutral,  When American Airlines start flying Siberia Wait USA Oy
7419,positive, btw name Samantha everyone flight
7420,positive, Understood thanks I tried reaching sooner
7421,negative,  min Hung up Always awful call Reservations there
7422,negative,  stranded North Carolina trying figure options cant get anyone talk
7423,neutral, help
7424,negative, I fly  normally This happen them Ill let flyers provide feedback Thank you
7425,negative, I DMed AA  phone   cant someone call me What point response You resolve anything
7426,negative,  We have useless Baggage service called  tell us would bags  Now maybe midnight
7427,positive, never delayed before  TPA BDL Better safe sorry   
7428,positive, Club Denver dope
7429,positive, You might dealing frustrated passenegers hope great day  thank much amazing airline 
7430,negative, YOUR costumer service representative lied ensured plane would leaving  Its scheduled 
7431,negative, Chairman Preferred  lifetime miles What US Air reward  upgrades  usual
7432,negative, lie lost bag is suppose trust lives thousands feet air
7433,positive, amazing experience staff DIA last night I blown away hospitality wife crutches
7434,negative,  fly  MCOgtCMH  bc cldnt reach SWA reroute SWA  Cancelled Flightlation Voucher wld help
7435,negative, makes small improvements retains program win all They keep crappy food change advantage lose
7436,neutral, I already did
7437,neutral, plz help win bid upgrade flight  LAXgtSEA
7438,positive, Airport snow removal method  Keep good work folks Cessnas become s 
7439,positive, Thanks Lindsey  Southwest twitter team great service  speedy resolution  
7440,negative, hold four hours never got connected Came airport rep essentially told everyone else screw
7441,negative, thanks DM rescheduling Unfortunately operations process LAX chaos  reps refused print ticket
7442,neutral, want change flight due weather conditions Dallas weekend able cover change fee miles
7443,negative, plane ground longer air US
7444,negative,  hours get backs back sat plane  hours flight Cancelled Flightled one small drink
7445,positive, well thanks charging switching two Cancelled Flightled flights anyway That pretty nice 
7446,negative, trying change flight via DFW tomorrow cant get thru phone long wait cut x help please
7447,neutral, Only one flight though The nd leg kids sitting scattered aircraft
7448,negative, Well Im showing I still sitting gate plane departed
7449,negative, Im Alist Preferred customer loyal SWA However inflight wifi better today  years ago
7450,neutral,   I need vacation ice 
7451,negative, Sure was  looks like Ill make birthday celebration all
7452,neutral, I committed okay please hook 
7453,negative,  INCONVENIENCE Are people freaking nuts This guy TWO KIDS WITH HIM STRAND airport 
7454,positive, too Despite chaos Im still grateful flight home
7455,negative, Been hold  minutes You fly answer phone
7456,positive, Thank you Took care everything made right Thats experience Im used to Opened app find flight changed
7457,negative, I need rebook I cannot get agent Can help
7458,negative, THRILLED carryon checked two nasty gate agents see entire empty bin I boarded last
7459,negative, I way making phones calls Need handle via Twitteremailweb Thank you
7460,negative, employee Logan told me I finally got one meet daughter first solo flight rude rep 
7461,negative, How free wifi flights delayed Only  mins allowed
7462,negative,  I submitted complaint via link Dec  followed Jan NEVER HEARD BACK 
7463,positive, woohoo He still  flight happy hear theyre air cried Must preggo hormones thx
7464,negative, HELP Attempting Cancelled Flight flight cant get thru  number Call gets dropped saying Agent flight 
7465,positive, social media team point  
7466,negative, inflight WIFI absolute worst Id willing paid double dialup speeds 
7467,neutral,  THIS IS THE YEAR FOR VAN GOGH FANS TO VISIT EUROPE 
7468,negative,  someone please tell I talk  
7469,positive, thanks gate checking baggage full flight dfwlax  giving early boarding 
7470,negative, website isnt working I cant talk any phone check flight status dfw Roads awful cant get
7471,neutral, absolutely required Are flights going  Cancelled Flighted
7472,neutral,As soon I can sending son home Saturday 
7473,negative, I received luggage also looked left snow I arrived Im asking  people refunded
7474,negative, next up enforcing boarding procedure
7475,neutral, Wifes RR pts expired days ago planning Flight Booking Problems trip today Anything us On tight budget
7476,positive, No problem follow back I can Thank you
7477,negative, flights  customer relations extremely disappointing Faced many problems type apology towards flight A JOKE
7478,negative,  Fix  jet bridges  minute delay nd gatestill waiting  
7479,positive, ROCK making I watch  flight   
7480,negative, well cant fix missing buddies th bday negligence attempt make it
7481,negative, trouble Flight Booking Problems seat US  March operated AA Neither airlines website allow seat selection
7482,negative, sitting tarmac half hour landing jetway broken  
7483,negative, customer service sucks They hang waiting hour talking  minutes
7484,negative, followed baggage rules website still charges  But going one way
7485,negative, I would like ask bags picked PIT  taken hotel airport Will someone contact
7486,positive, This unbelievable Thank much 
7487,neutral, pleasecan I last tickets best friend  
7488,positive, Great service PBI HPN Thanks
7489,positive, awesome Ill book next Christmas vacatinn December ways want devalue mileage plus
7490,negative,  wow say
7491,neutral,  kids  days   work months advance
7492,negative, better hold flight Tucson  landed Houston hour delay minor computer problem
7493,negative, voucher give us hotel useless call number say rooms available expect do
7494,positive, airline based Silicon Valley    s 
7495,negative, none sle itineraries actually booked  Every last leg back US says invalid
7496,negative, I interviewed yesterday flight attendant I last person recruiter said lost file n came back interview
7497,negative, Batting  Four flights month four delayed
7498,neutral, help out
7499,negative,  know reservations team  hr callback time
7500,negative, pls help get resolved  reimbursement made gracias rico pls send private msg phone number email address
7501,positive, record Rozana Newark lovely helpful 
7502,neutral, I get service desk  IAD
7503,negative, I still cant get change flight This really important plz help
7504,negative, I believe It Cancelled Flighted yesterday I guess Goes back notification United Cancelled Flightlation
7505,negative, Where tickets offices Boston Impossible book phone use vouchers website headache PLEASE HELP
7506,neutral,  help regarding flights KPHL would much appreciated
7507,negative, thanks making effort Credit credit due flight  delayed  hours instead  hours  
7508,negative, airlines delayed flight way Chicago leaving Chicago Next time  is
7509,negative,  put bad mood I angry since Spagnuolo coached 
7510,negative, Ive  years Ive never many issues airline
7511,neutral, I interview long take hear back
7512,neutral,  seats available  pm ORD RDUI need  seats please
7513,neutral, TSA Pre boarding pass mean 
7514,negative, YOU FUCKING SUCK
7515,positive, Airways Corporation NASDAQJBLU Reaches New High Range   StreetWise Report 
7516,negative,  minutes hold far And still spoke human Never using again
7517,neutral, help add KTN reservation PLZ
7518,negative, everyone pilots found last flight plane dirty I clean area  seat
7519,negative, Cancelled Flighted flights Im rerouted  hrs travel bump paying customers non revs 
7520,negative, Youve misunderstood  WOULD NOT day flight change me The gate agent said NO
7521,neutral,  pretty sure hes saying Ricoh great service BOS  
7522,negative, eventually arrived seemed really slow 
7523,neutral, Mosiac  
7524,negative, worst airline Lost luggage delayed flights unaccomidating
7525,negative, travel day sucks Malcome K gate  rocks This guy brand want be Replicate approach style
7526,negative, Your boarding process sucks You learn 
7527,negative, yes attitude nasty comment
7528,negative,  hour maintenance delay enuf u charge bag global service platinum mbr Get ur shit together
7529,negative, brothers flight DFW Cancelled Flightled yesterday Are flying ONT DFW today
7530,negative, I call discuss  I told united phone contact passengers  absurd
7531,negative, really answer question Maybe I provide details give clarification
7532,neutral, conf number FMJTYL delayed  chance getting earlier flight fll phx
7533,neutral, Our fleets fleek  happened
7534,negative,  AA going fix utterly embarrassing customer service You even answer dang phone
7535,negative,  Cancelled Flightled one
7536,neutral, Airport snow removal method  Keep good work folks Cessnas become s 
7537,negative, MIAEWR  excellent crew EWRIAD  No crew load bags  waiting w door open freezing  mins past departure
